"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"14","tt0037415","Thu Sep 27 09:43:04 2012","Thu Sep 27 09:43:04 2012","","The Uninvited","Feature Film","Lewis Allen","7.5","99","1944","fantasy, horror, mystery, romance","3363","1944-02-10","http://www.imdb.com/title/tt0037415/"
"15","tt0037988","Thu Jul 19 09:45:11 2012","Thu Jul 19 09:45:11 2012","","The Picture of Dorian Gray","Feature Film","Albert Lewin","7.6","110","1945","drama, fantasy, horror, romance, thriller","5996","1945-03-01","http://www.imdb.com/title/tt0037988/"
"16","tt0037635","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Dead of Night","Feature Film","Cavalcanti, Charles Crichton","7.8","103","1945","horror, thriller","4880","1945-09-04","http://www.imdb.com/title/tt0037635/"
"17","tt0040068","Thu Jul 19 09:44:51 2012","Thu Jul 19 09:44:51 2012","","Bud Abbott Lou Costello Meet Frankenstein","Feature Film","Charles T. Barton","7.4","83","1948","comedy, horror, sci_fi","7392","1948-06-15","http://www.imdb.com/title/tt0040068/"
"18","tt0044121","Thu Jul  5 08:41:06 2012","Thu Jul  5 08:41:06 2012","","The Thing from Another World","Feature Film","Christian Nyby","7.3","87","1951","horror, sci_fi","11855","1951-04-06","http://www.imdb.com/title/tt0044121/"
"19","tt0045888","Thu Jul  5 08:41:25 2012","Thu Jul  5 08:41:25 2012","","House of Wax","Feature Film","Andre de Toth","7.0","90","1953","horror","6814","1953-04-10","http://www.imdb.com/title/tt0045888/"
"20","tt0046876","Thu Jul  5 08:41:15 2012","Thu Jul  5 08:41:15 2012","","Creature from the Black Lagoon","Feature Film","Jack Arnold","6.9","79","1954","adventure, horror, sci_fi","9709","1954-03-05","http://www.imdb.com/title/tt0046876/"
"21","tt0049366","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Invasion of the Body Snatchers","Feature Film","Don Siegel","7.9","80","1956","horror, sci_fi","21314","1956-02-05","http://www.imdb.com/title/tt0049366/"
"22","tt0050976","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Seventh Seal","Feature Film","Ingmar Bergman","8.3","96","1957","drama, fantasy","61150","1957-02-16","http://www.imdb.com/title/tt0050976/"
"23","tt0051554","Thu Jul  5 08:40:49 2012","Thu Jul  5 08:40:49 2012","","Horror of Dracula","Feature Film","Terence Fisher","7.5","82","1958","horror","8795","1958-05-08","http://www.imdb.com/title/tt0051554/"
"24","tt0051418","Thu Oct 25 09:07:01 2012","Thu Oct 25 09:07:01 2012","","The Blob","Feature Film","Irvin S. Yeaworth Jr.","6.3","86","1958","horror, sci_fi","9937","1958-09-12","http://www.imdb.com/title/tt0051418/"
"25","tt0051622","Thu Jul 19 09:45:39 2012","Thu Jul 19 09:45:39 2012","","The Fly","Feature Film","Kurt Neumann","7.0","94","1958","horror, sci_fi","8699","1958-07-16","http://www.imdb.com/title/tt0051622/"
"26","tt0051744","Thu Jul  5 08:39:59 2012","Thu Jul  5 08:39:59 2012","","House on Haunted Hill","Feature Film","William Castle","6.8","75","1959","drama, horror, thriller","9183","1959-02-17","http://www.imdb.com/title/tt0051744/"
"27","tt0054443","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Village of the Damned","Feature Film","Wolf Rilla","7.3","77","1960","horror, mystery, sci_fi","6586","1960-07","http://www.imdb.com/title/tt0054443/"
"28","tt0054067","Fri Sep  7 09:05:12 2012","Fri Sep  7 09:05:12 2012","","Black Sunday","Feature Film","Mario Bava","7.4","87","1960","horror","5083","1960-08-11","http://www.imdb.com/title/tt0054067/"
"29","tt0054215","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Psycho","Feature Film","Alfred Hitchcock","8.6","109","1960","horror, mystery, thriller","219650","1960-06-16","http://www.imdb.com/title/tt0054215/"
"30","tt0055824","Wed Aug 15 08:32:52 2012","Wed Aug 15 08:32:52 2012","","Cape Fear","Feature Film","J. Lee Thompson","7.8","105","1962","thriller","14004","1962-04-12","http://www.imdb.com/title/tt0055824/"
"31","tt0057129","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Haunting","Feature Film","Robert Wise","7.7","112","1963","drama, horror","16349","1963-08","http://www.imdb.com/title/tt0057129/"
