"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"69","tt0397313","Mon Jul  2 00:17:59 2012","Mon Jul  2 00:17:59 2012","","Eight Below","Feature Film","Frank Marshall","7.2","120","2006","adventure, drama, family","27562","2006-02-17","http://www.imdb.com/title/tt0397313/"
"70","tt0116583","Mon Jul  2 00:20:56 2012","Mon Jul  2 00:20:56 2012","","The Hunchback of Notre Dame","Feature Film","Gary Trousdale, Kirk Wise","6.7","91","1996","animation, drama, family, musical, romance","44431","1996-06-21","http://www.imdb.com/title/tt0116583/"
"71","tt0120855","Mon Jul  2 00:10:06 2012","Mon Jul  2 00:10:06 2012","","Tarzan","Feature Film","Chris Buck, Kevin Lima","7.0","88","1999","animation, adventure, drama, family, romance","58024","1999-06-17","http://www.imdb.com/title/tt0120855/"
"72","tt0385880","Mon Jul  2 00:22:34 2012","Mon Jul  2 00:22:34 2012","","Monster House","Feature Film","Gil Kenan","6.7","91","2006","animation, comedy, family, fantasy, mystery","37528","2006-06-15","http://www.imdb.com/title/tt0385880/"
"73","tt0366777","Mon Jul  2 00:18:51 2012","Mon Jul  2 00:18:51 2012","","Millions","Feature Film","Danny Boyle","7.0","98","2004","comedy, crime, drama, family, fantasy","16358","2004-09-14","http://www.imdb.com/title/tt0366777/"
"74","tt0312004","Mon Jul  2 00:13:08 2012","Mon Jul  2 00:13:08 2012","","Wallace & Gromit in The Curse of the Were-Rabbit","Feature Film","Steve Box, Nick Park","7.7","85","2005","animation, adventure, comedy, family","60451","2005-09-04","http://www.imdb.com/title/tt0312004/"
"75","tt0268397","Mon Jul  2 00:22:20 2012","Mon Jul  2 00:22:20 2012","","Jimmy Neutron: Boy Genius","Feature Film","John A. Davis","5.9","82","2001","animation, action, adventure, comedy, family, sci_fi","12084","2001-12-09","http://www.imdb.com/title/tt0268397/"
"76","tt0299172","Mon Jul  2 00:26:47 2012","Mon Jul  2 00:26:47 2012","","Home on the Range","Feature Film","Will Finn, John Sanford","5.3","76","2004","animation, family, music, western","7421","2004-03-21","http://www.imdb.com/title/tt0299172/"
"77","tt0113497","Mon Jul  2 00:20:29 2012","Mon Jul  2 00:20:29 2012","","Jumanji","Feature Film","Joe Johnston","6.6","104","1995","adventure, family, fantasy, thriller","97387","1995-12-15","http://www.imdb.com/title/tt0113497/"
"78","tt0119528","Mon Jul  2 00:10:33 2012","Mon Jul  2 00:10:33 2012","","Liar Liar","Feature Film","Tom Shadyac","6.7","86","1997","comedy, family","117844","1997-03-21","http://www.imdb.com/title/tt0119528/"
"79","tt0338348","Mon Jul  2 01:19:19 2012","Mon Jul  2 01:19:19 2012","","The Polar Express","Feature Film","Robert Zemeckis","6.5","100","2004","animation, adventure, family, fantasy","56365","2004-10-21","http://www.imdb.com/title/tt0338348/"
"80","tt0120794","Mon Jul  2 00:19:58 2012","Mon Jul  2 00:19:58 2012","","The Prince of Egypt","Feature Film","Brenda Chapman, Steve Hickner","6.8","99","1998","animation, adventure, drama, family, history, musical","47740","1998-12-16","http://www.imdb.com/title/tt0120794/"
"81","tt0112642","Mon Jul  2 00:20:15 2012","Mon Jul  2 00:20:15 2012","","Casper","Feature Film","Brad Silberling","5.8","100","1995","comedy, family, fantasy","47618","1995-05-26","http://www.imdb.com/title/tt0112642/"
"82","tt0059742","Mon Jul  2 00:00:22 2012","Mon Jul  2 00:00:22 2012","","The Sound of Music","Feature Film","Robert Wise","7.9","174","1965","biography, drama, family, musical, romance","80237","1965-03-02","http://www.imdb.com/title/tt0059742/"
"83","tt0166813","Mon Jul  2 00:22:47 2012","Mon Jul  2 00:22:47 2012","","Spirit: Stallion of the Cimarron","Feature Film","Kelly Asbury, Lorna Cook","6.7","83","2002","animation, adventure, comedy, family, romance, western","19294","2002-05-18","http://www.imdb.com/title/tt0166813/"
"84","tt0451079","Mon Jul  2 00:04:04 2012","Mon Jul  2 00:04:04 2012","","Horton Hears a Who!","Feature Film","Jimmy Hayward, Steve Martino","7.0","86","2008","animation, adventure, comedy, family, fantasy","61837","2008-03-03","http://www.imdb.com/title/tt0451079/"
"85","tt0118689","Mon Jul  2 00:27:52 2012","Mon Jul  2 00:27:52 2012","","Bean","Feature Film","Mel Smith","6.0","85","1997","comedy, family","44988","1997-07-03","http://www.imdb.com/title/tt0118689/"
