"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"11","tt0072271","Thu Oct 18 10:58:05 2012","Thu Oct 18 10:58:05 2012","","The Texas Chain Saw Massacre","Feature Film","Tobe Hooper","7.5","83","1974","horror, thriller","55612","1974-10-01","http://www.imdb.com/title/tt0072271/"
"12","tt1588170","Thu Oct 18 10:43:08 2012","Thu Oct 18 10:43:08 2012","","I Saw the Devil","Feature Film","Jee-woon Kim","7.8","141","2010","crime, drama, thriller","30300","2010-08-12","http://www.imdb.com/title/tt1588170/"
"13","tt1632547","Thu Oct 18 10:43:25 2012","Thu Oct 18 10:43:25 2012","","Cold Fish","Feature Film","Shion Sono","7.1","144","2010","drama, horror, thriller","2931","2010-09-07","http://www.imdb.com/title/tt1632547/"
"14","tt0157016","Thu Oct 18 10:45:17 2012","Thu Oct 18 10:45:17 2012","","I Stand Alone","Feature Film","Gaspar Noé","7.3","93","1998","crime, drama","7553","1998-05-16","http://www.imdb.com/title/tt0157016/"
"15","tt0099763","Thu Oct 18 10:43:51 2012","Thu Oct 18 10:43:51 2012","","Henry: Portrait of a Serial Killer","Feature Film","John McNaughton","7.1","83","1986","biography, crime, drama, horror, thriller","14433","1986-09-24","http://www.imdb.com/title/tt0099763/"
"16","tt0165623","Thu Oct 18 10:44:31 2012","Thu Oct 18 10:44:31 2012","","Angst","Feature Film","Gerald Kargl","7.4","","1983","crime, drama, horror","1515","1983","http://www.imdb.com/title/tt0165623/"
"17","tt0103905","Thu Oct 18 10:44:07 2012","Thu Oct 18 10:44:07 2012","","Man Bites Dog","Feature Film","Rémy Belvaux, André Bonzel","7.5","95","1992","comedy, crime, drama","18484","1992-05","http://www.imdb.com/title/tt0103905/"
"18","tt0123948","Thu Oct 18 10:46:06 2012","Thu Oct 18 10:46:06 2012","","Cure","Feature Film","Kiyoshi Kurosawa","7.3","111","1997","crime, horror, mystery, thriller","3818","1997-11-06","http://www.imdb.com/title/tt0123948/"
"19","tt0119167","Thu Oct 18 10:46:49 2012","Thu Oct 18 10:46:49 2012","","Funny Games","Feature Film","Michael Haneke","7.6","108","1997","crime, drama, thriller","24279","1997-05-14","http://www.imdb.com/title/tt0119167/"
"20","tt1020530","Thu Oct 18 10:50:21 2012","Thu Oct 18 10:50:21 2012","","Eden Lake","Feature Film","James Watkins","6.9","91","2008","horror, thriller","29966","2008-05-15","http://www.imdb.com/title/tt1020530/"
"21","tt1189073","Thu Oct 18 10:47:16 2012","Thu Oct 18 10:47:16 2012","","The Skin I Live In","Feature Film","Pedro Almodóvar","7.6","120","2011","thriller","46409","2011-05-19","http://www.imdb.com/title/tt1189073/"
"22","tt0235198","Thu Oct 18 10:47:33 2012","Thu Oct 18 10:47:33 2012","","Audition","Feature Film","Takashi Miike","7.3","115","1999","horror, thriller","34468","1999-10-06","http://www.imdb.com/title/tt0235198/"
"23","tt1590089","Thu Oct 18 10:47:59 2012","Thu Oct 18 10:47:59 2012","","Confessions","Feature Film","Tetsuya Nakashima","7.8","106","2010","drama, mystery, thriller","11698","2010-06-05","http://www.imdb.com/title/tt1590089/"
"24","tt0250258","Thu Oct 18 10:48:15 2012","Thu Oct 18 10:48:15 2012","","Das Experiment","Feature Film","Oliver Hirschbiegel","7.8","","2001","drama, thriller","44984","2001-03-07","http://www.imdb.com/title/tt0250258/"
"25","tt0266308","Thu Oct 18 10:48:37 2012","Thu Oct 18 10:48:37 2012","","Battle Royale","Feature Film","Kinji Fukasaku","7.8","114","2000","action, adventure, drama, thriller","85519","2000-12-16","http://www.imdb.com/title/tt0266308/"
"26","tt0856288","Thu Oct 18 10:51:03 2012","Thu Oct 18 10:51:03 2012","","Inside","Feature Film","Alexandre Bustillo, Julien Maury","6.9","82","2007","horror, thriller","17122","2007-05-24","http://www.imdb.com/title/tt0856288/"
"27","tt1273235","Thu Oct 18 10:52:31 2012","Thu Oct 18 10:52:31 2012","","A Serbian Film","Feature Film","Srdjan Spasojevic","5.6","104","2010","horror, mystery, thriller","14743","2010-03-15","http://www.imdb.com/title/tt1273235/"
"28","tt0407621","Thu Oct 18 10:51:53 2012","Thu Oct 18 10:51:53 2012","","The Ordeal","Feature Film","Fabrice Du Welz","6.2","88","2004","drama, horror","5870","2004-05-18","http://www.imdb.com/title/tt0407621/"
"29","tt1646959","Thu Oct 18 10:49:31 2012","Thu Oct 18 10:49:31 2012","","Bedevilled","Feature Film","Chul-soo Jang","7.2","115","2010","crime, drama, thriller","3442","2010-05-14","http://www.imdb.com/title/tt1646959/"
"30","tt0440803","Thu Oct 18 10:49:53 2012","Thu Oct 18 10:49:53 2012","","Shutter","Feature Film","Banjong Pisanthanakun, Parkpoom Wongpoom","7.1","97","2004","horror, mystery, thriller","18427","2004-09-09","http://www.imdb.com/title/tt0440803/"
"31","tt0298130","Thu Oct 18 10:54:15 2012","Thu Oct 18 10:54:15 2012","","The Ring","Feature Film","Gore Verbinski","7.1","115","2002","horror, mystery, thriller","141303","2002-10-02","http://www.imdb.com/title/tt0298130/"
"32","tt0256009","Thu Oct 18 10:53:31 2012","Thu Oct 18 10:53:31 2012","","The Devil's Backbone","Feature Film","Guillermo del Toro","7.5","106","2001","drama, horror","28219","2001-04-20","http://www.imdb.com/title/tt0256009/"
