"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"38","tt0067588","Sat Mar 10 02:57:45 2012","Sat Mar 10 02:57:45 2012","","Play Misty for Me","Feature Film","Clint Eastwood","7.0","102","1971","crime, drama, romance, thriller","12087","1971-11-03","http://www.imdb.com/title/tt0067588/"
"39","tt0066921","Sat Mar 10 03:08:46 2012","Sat Mar 10 03:08:46 2012","","A Clockwork Orange","Feature Film","Stanley Kubrick","8.5","136","1971","crime, drama, sci_fi","293517","1971-12-19","http://www.imdb.com/title/tt0066921/"
"40","tt0069281","Sat Mar 10 03:14:47 2012","Sat Mar 10 03:14:47 2012","","Sleuth","Feature Film","Joseph L. Mankiewicz","8.1","138","1972","mystery, thriller","24937","1972-12-10","http://www.imdb.com/title/tt0069281/"
"41","tt0068611","Thu Oct 25 09:12:38 2012","Thu Oct 25 09:12:38 2012","","Frenzy","Feature Film","Alfred Hitchcock","7.5","116","1972","crime, thriller","18886","1972-05-25","http://www.imdb.com/title/tt0068611/"
"42","tt0069995","Sat Mar 10 03:15:17 2012","Sat Mar 10 03:15:17 2012","","Don't Look Now","Feature Film","Nicolas Roeg","7.4","110","1973","horror, mystery, thriller","20114","1973-12-09","http://www.imdb.com/title/tt0069995/"
"43","tt0071360","Sat Mar 10 02:57:31 2012","Sat Mar 10 02:57:31 2012","","The Conversation","Feature Film","Francis Ford Coppola","8.0","113","1974","mystery, thriller","46878","1974-04-07","http://www.imdb.com/title/tt0071360/"
"44","tt0073582","Thu Oct 18 08:50:16 2012","Thu Oct 18 08:50:16 2012","","Deep Red","Feature Film","Dario Argento","7.6","126","1975","horror, mystery, thriller","13107","1975-03-07","http://www.imdb.com/title/tt0073582/"
"45","tt0074811","Sat Mar 10 02:52:09 2012","Sat Mar 10 02:52:09 2012","","The Tenant","Feature Film","Roman Polanski","7.7","126","1976","thriller","16002","1976-05-26","http://www.imdb.com/title/tt0074811/"
"46","tt0075314","Sat Mar 10 02:58:00 2012","Sat Mar 10 02:58:00 2012","","Taxi Driver","Feature Film","Martin Scorsese","8.5","113","1976","drama","261087","1976-02-08","http://www.imdb.com/title/tt0075314/"
"47","tt0074860","Sat Mar 10 03:13:29 2012","Sat Mar 10 03:13:29 2012","","Marathon Man","Feature Film","John Schlesinger","7.6","125","1976","thriller","27450","1976-10-06","http://www.imdb.com/title/tt0074860/"
"48","tt0074285","Sat Mar 10 02:52:57 2012","Sat Mar 10 02:52:57 2012","","Carrie","Feature Film","Brian De Palma","7.4","98","1976","drama, horror","63891","1976-11-03","http://www.imdb.com/title/tt0074285/"
"49","tt0074486","Sat Mar 10 03:08:56 2012","Sat Mar 10 03:08:56 2012","","Eraserhead","Feature Film","David Lynch","7.3","85","1977","fantasy, horror, sci_fi","39351","1977-03-19","http://www.imdb.com/title/tt0074486/"
"50","tt0081505","Sat Mar 10 02:55:45 2012","Sat Mar 10 02:55:45 2012","","The Shining","Feature Film","Stanley Kubrick","8.5","","1980","horror, mystery","301484","1980-05-23","http://www.imdb.com/title/tt0081505/"
"51","tt0081455","Sat Mar 10 03:08:00 2012","Sat Mar 10 03:08:00 2012","","Scanners","Feature Film","David Cronenberg","6.8","103","1981","horror, sci_fi","19735","1981-01-14","http://www.imdb.com/title/tt0081455/"
"52","tt0082085","Thu Jul 19 09:32:01 2012","Thu Jul 19 09:32:01 2012","","Blow Out","Feature Film","Brian De Palma","7.3","107","1981","thriller","15363","1981-07-24","http://www.imdb.com/title/tt0082085/"
"53","tt0084777","Thu Oct 11 08:25:03 2012","Thu Oct 11 08:25:03 2012","","Tenebre","Feature Film","Dario Argento","7.0","110","1982","horror, mystery, thriller","9047","1982-10-28","http://www.imdb.com/title/tt0084777/"
"54","tt0085407","Sat Mar 10 03:03:25 2012","Sat Mar 10 03:03:25 2012","","The Dead Zone","Feature Film","David Cronenberg","7.3","103","1983","sci_fi, thriller","26675","1983-10-21","http://www.imdb.com/title/tt0085407/"
"55","tt0086541","Sat Mar 10 03:07:40 2012","Sat Mar 10 03:07:40 2012","","Videodrome","Feature Film","David Cronenberg","7.3","87","1983","horror, sci_fi","33881","1983-02-04","http://www.imdb.com/title/tt0086541/"
"56","tt0091605","Sat Mar 10 03:01:32 2012","Sat Mar 10 03:01:32 2012","","The Name of the Rose","Feature Film","Jean-Jacques Annaud","7.8","130","1986","drama, mystery, thriller, crime","50134","1986-09-24","http://www.imdb.com/title/tt0091605/"
"57","tt0091474","Fri Jun 22 10:12:29 2012","Fri Jun 22 10:12:29 2012","","Manhunter","Feature Film","Michael Mann","7.2","119","1986","crime, mystery, thriller","31220","1986-08-15","http://www.imdb.com/title/tt0091474/"
"58","tt0090756","Sat Mar 10 03:02:56 2012","Sat Mar 10 03:02:56 2012","","Blue Velvet","Feature Film","David Lynch","7.8","120","1986","crime, mystery, thriller","79479","1986-08","http://www.imdb.com/title/tt0090756/"
"59","tt0099763","Sat Mar 10 03:00:55 2012","Sat Mar 10 03:00:55 2012","","Henry: Portrait of a Serial Killer","Feature Film","John McNaughton","7.1","83","1986","biography, crime, drama, horror, thriller","14433","1986-09-24","http://www.imdb.com/title/tt0099763/"
"60","tt0092563","Sat Mar 10 03:00:03 2012","Sat Mar 10 03:00:03 2012","","Angel Heart","Feature Film","Alan Parker","7.3","113","1987","mystery, thriller","38607","1987-03-06","http://www.imdb.com/title/tt0092563/"
"61","tt0095174","Thu Oct 25 09:12:55 2012","Thu Oct 25 09:12:55 2012","","Frantic","Feature Film","Roman Polanski","6.8","120","1988","crime, drama, mystery, thriller","25109","1988-02-16","http://www.imdb.com/title/tt0095174/"
"62","tt0094964","Sat Mar 10 02:57:21 2012","Sat Mar 10 02:57:21 2012","","Dead Ringers","Feature Film","David Cronenberg","7.3","116","1988","drama, thriller","18219","1988-09-08","http://www.imdb.com/title/tt0094964/"
"63","tt0100157","Sat Mar 10 03:01:52 2012","Sat Mar 10 03:01:52 2012","","Misery","Feature Film","Rob Reiner","7.8","107","1990","thriller","73077","1990-11-30","http://www.imdb.com/title/tt0100157/"
"64","tt0099871","Sat Mar 10 03:14:59 2012","Sat Mar 10 03:14:59 2012","","Jacob's Ladder","Feature Film","Adrian Lyne","7.5","113","1990","drama, horror, mystery","46178","1990-11-02","http://www.imdb.com/title/tt0099871/"
"65","tt0101410","Sat Mar 10 02:57:09 2012","Sat Mar 10 02:57:09 2012","","Barton Fink","Feature Film","Joel Coen","7.7","116","1991","drama, mystery, thriller","52366","1991-05","http://www.imdb.com/title/tt0101410/"
"66","tt0102926","Sat Mar 10 03:01:23 2012","Sat Mar 10 03:01:23 2012","","The Silence of the Lambs","Feature Film","Jonathan Demme","8.7","118","1991","thriller","415003","1991-01-30","http://www.imdb.com/title/tt0102926/"
"67","tt0101540","Sat Mar 10 02:57:01 2012","Sat Mar 10 02:57:01 2012","","Cape Fear","Feature Film","Martin Scorsese","7.3","128","1991","drama, thriller","77758","1991-11-13","http://www.imdb.com/title/tt0101540/"
"68","tt0106856","Sat Mar 10 02:51:54 2012","Sat Mar 10 02:51:54 2012","","Falling Down","Feature Film","Joel Schumacher","7.6","113","1993","crime, drama, thriller","80630","1993-02-26","http://www.imdb.com/title/tt0106856/"
"69","tt0114746","Sat Mar 10 03:41:06 2012","Sat Mar 10 03:41:06 2012","","Twelve Monkeys","Feature Film","Terry Gilliam","8.1","129","1995","mystery, sci_fi, thriller","260640","1995-12-27","http://www.imdb.com/title/tt0114746/"
"70","tt0114369","Sat Mar 10 03:02:07 2012","Sat Mar 10 03:02:07 2012","","Se7en","Feature Film","David Fincher","8.7","127","1995","crime, mystery, thriller","494667","1995-09-22","http://www.imdb.com/title/tt0114369/"
"71","tt0117883","Thu Aug  2 02:11:39 2012","Thu Aug  2 02:11:39 2012","","Tesis","Feature Film","Alejandro Amenábar","7.5","125","1996","mystery, thriller","16052","1996-02","http://www.imdb.com/title/tt0117883/"
"72","tt0117381","Sat Mar 10 03:02:47 2012","Sat Mar 10 03:02:47 2012","","Primal Fear","Feature Film","Gregory Hoblit","7.6","129","1996","crime, drama, mystery, thriller","71489","1996-04-03","http://www.imdb.com/title/tt0117381/"
